year,series,observed,trend,cycle_period5,remainder
1993,mortality_age_standardized_rate,112.29749968814292,112.98442990325043,-0.25038459815415515,-0.4365456169533538
1994,mortality_age_standardized_rate,109.10169560332088,109.34525498354705,-0.07792473692787354,-0.16563464329829997
1995,mortality_age_standardized_rate,105.93320343912244,105.8429169332175,0.14365126200610723,-0.05336475610116542
1996,mortality_age_standardized_rate,102.63925726841671,102.3248546919357,0.3139789330211753,0.00042364345983991747
1997,mortality_age_standardized_rate,99.24292866708446,98.57874506823352,-0.12932085994525389,0.7935044587961938
1998,mortality_age_standardized_rate,94.707188481734,94.78217448903516,-0.25038459815415515,0.17539859085299192
1999,mortality_age_standardized_rate,90.37114748480992,91.17403299946787,-0.07792473692787354,-0.7249607777300711
2000,mortality_age_standardized_rate,86.95035054313065,87.81959564769336,0.14365126200610723,-1.0128963665688153
2001,mortality_age_standardized_rate,84.59854982058026,84.85481568782686,0.3139789330211753,-0.5702448002677725
2002,mortality_age_standardized_rate,82.47074190821196,82.47869157877881,-0.12932085994525389,0.12137118937840918
2003,mortality_age_standardized_rate,79.88328868240141,80.63158808410864,-0.25038459815415515,-0.4979148035530735
2004,mortality_age_standardized_rate,78.49052693956978,79.1138539232803,-0.07792473692787354,-0.5454022467826534
2005,mortality_age_standardized_rate,77.7148330697798,77.45986547705807,0.14365126200610723,0.1113163307156193
2006,mortality_age_standardized_rate,77.0098790164385,75.95317574023234,0.3139789330211753,0.742724343184989
2007,mortality_age_standardized_rate,74.20079967710087,74.32938349179197,-0.12932085994525389,0.0007370452541562988
2008,mortality_age_standardized_rate,72.34983999827271,72.49870127942941,-0.25038459815415515,0.10152331699745709
2009,mortality_age_standardized_rate,70.37156569736796,70.4571862115872,-0.07792473692787354,-0.007695777291370123
2010,mortality_age_standardized_rate,68.56142200796707,68.52601386827517,0.14365126200610723,-0.10824312231421152
2011,mortality_age_standardized_rate,66.8023036772274,66.70406099146652,0.3139789330211753,-0.21573624726029528
2012,mortality_age_standardized_rate,64.5449379605407,64.81484258359399,-0.12932085994525389,-0.140583763108039
2013,mortality_age_standardized_rate,63.240075614229426,62.72824271154736,-0.25038459815415515,0.7622175008362212
2014,mortality_age_standardized_rate,60.92547365800533,60.8196466091842,-0.07792473692787354,0.18375178574900702
2015,mortality_age_standardized_rate,58.12842264773395,59.14057206828934,0.14365126200610723,-1.155800682561496
2016,mortality_age_standardized_rate,57.259323165411566,57.33937358844414,0.3139789330211753,-0.39402935605374956
2017,mortality_age_standardized_rate,56.14956525606641,55.5395169353475,-0.12932085994525389,0.7393691806641639
2018,mortality_age_standardized_rate,54.23408321500344,53.684490149199874,-0.25038459815415515,0.7999776639577184
2019,mortality_age_standardized_rate,51.92619039252213,51.38038522767315,-0.07792473692787354,0.6237299017768521
2020,mortality_age_standardized_rate,48.85328871699582,48.609342733419965,0.14365126200610723,0.10029472156974828
2021,mortality_age_standardized_rate,45.738798557777976,45.883273433850775,0.3139789330211753,-0.45845380909397426
2022,mortality_age_standardized_rate,42.294352784800445,44.662944359727845,-0.12932085994525389,-2.2392707149821462
2023,mortality_age_standardized_rate,40.60373671715751,42.501025017955584,-0.25038459815415515,-1.646903702643919
